0:0:0:0:0:0:0:1 - - [09/Apr/2020:10:11:05 +0800] "GET /FinalProject/fragment/indexTOP.jsp HTTP/1.1" 200 1107
0:0:0:0:0:0:0:1 - - [09/Apr/2020:10:11:06 +0800] "GET /FinalProject/fragment/indexTOP.jsp HTTP/1.1" 200 1107
0:0:0:0:0:0:0:1 - - [09/Apr/2020:10:11:06 +0800] "GET /FinalProject/fragment/indexTOP.jsp HTTP/1.1" 200 1107
0:0:0:0:0:0:0:1 - - [09/Apr/2020:10:11:06 +0800] "GET /FinalProject/fragment/indexTOP.jsp HTTP/1.1" 200 1107
0:0:0:0:0:0:0:1 - - [09/Apr/2020:10:11:06 +0800] "GET /FinalProject/fragment/indexTOP.jsp HTTP/1.1" 200 1107
0:0:0:0:0:0:0:1 - - [09/Apr/2020:10:11:07 +0800] "GET /FinalProject/fragment/indexTOP.jsp HTTP/1.1" 200 1107
0:0:0:0:0:0:0:1 - - [09/Apr/2020:10:11:07 +0800] "GET /FinalProject/fragment/indexTOP.jsp HTTP/1.1" 200 1107
0:0:0:0:0:0:0:1 - - [09/Apr/2020:10:11:18 +0800] "GET /FinalProject/fragment/indexTOP.jsp HTTP/1.1" 200 1112
0:0:0:0:0:0:0:1 - - [09/Apr/2020:10:11:19 +0800] "GET /FinalProject/fragment/indexTOP.jsp HTTP/1.1" 200 1112
0:0:0:0:0:0:0:1 - - [09/Apr/2020:10:11:19 +0800] "GET /FinalProject/fragment/indexTOP.jsp HTTP/1.1" 200 1112
0:0:0:0:0:0:0:1 - - [09/Apr/2020:10:11:19 +0800] "GET /FinalProject/fragment/indexTOP.jsp HTTP/1.1" 200 1112
0:0:0:0:0:0:0:1 - - [09/Apr/2020:10:11:19 +0800] "GET /FinalProject/fragment/indexTOP.jsp HTTP/1.1" 200 1112
0:0:0:0:0:0:0:1 - - [09/Apr/2020:10:11:20 +0800] "GET /FinalProject/fragment/indexTOP.jsp HTTP/1.1" 200 1112
0:0:0:0:0:0:0:1 - - [09/Apr/2020:10:11:20 +0800] "GET /FinalProject/fragment/indexTOP.jsp HTTP/1.1" 200 1112
0:0:0:0:0:0:0:1 - - [09/Apr/2020:10:11:20 +0800] "GET /FinalProject/fragment/indexTOP.jsp HTTP/1.1" 200 1112
